Componente,Variable en Figma,Token en el tema,La usa una capa de Figma,La lee el CSS de PrimeNG,Veredicto,bloque,capa de Figma,selector CSS,accionable,motivo,revisado
avatar,background,--p-avatar-background,sí,sí,conectada,,,,,,
avatar,border/radius,--p-avatar-border-radius,sí,sí,conectada,,,,,,
avatar,color,--p-avatar-color,sí,sí,conectada,,,,,,
avatar,font/size,--p-avatar-font-size,sí,sí,conectada,,,,,,
avatar,group/border/color,--p-avatar-group-border-color,sí,sí,conectada,,,,,,
avatar,group/offset,--p-avatar-group-offset,sí,sí,conectada,,,,,,
avatar,height,--p-avatar-height,sí,sí,conectada,,,,,,
avatar,icon/size,--p-avatar-icon-size,sí,sí,conectada,,,,,,
avatar,lg/font/size,--p-avatar-lg-font-size,sí,sí,conectada,,,,,,
avatar,lg/group/offset,--p-avatar-lg-group-offset,sí,sí,conectada,,,,,,
avatar,lg/height,--p-avatar-lg-height,sí,no,espejismo,root,raíz de las variantes Large,.p-avatar-lg { height: var(--p-avatar-lg-width) },no,PrimeNG usa el ancho para las dos medidas: el alto no viaja,2026-09-03
avatar,lg/icon/size,--p-avatar-lg-icon-size,sí,sí,conectada,,,,,,
avatar,lg/width,--p-avatar-lg-width,sí,sí,conectada,,,,,,
avatar,width,--p-avatar-width,sí,sí,conectada,,,,,,
avatar,xl/font/size,--p-avatar-xl-font-size,sí,sí,conectada,,,,,,
avatar,xl/group/offset,--p-avatar-xl-group-offset,sí,sí,conectada,,,,,,
avatar,xl/height,--p-avatar-xl-height,sí,no,espejismo,root,raíz de las variantes X-Large,.p-avatar-xl { height: var(--p-avatar-xl-width) },no,idem,2026-09-03
avatar,xl/icon/size,--p-avatar-xl-icon-size,sí,sí,conectada,,,,,,
avatar,xl/width,--p-avatar-xl-width,sí,sí,conectada,,,,,,
badge,border/radius,--p-badge-border-radius,sí,sí,conectada,,,,,,
badge,contrast/background,--p-badge-contrast-background,sí,sí,conectada,,,,,,
badge,contrast/color,--p-badge-contrast-color,sí,sí,conectada,,,,,,
badge,danger/background,--p-badge-danger-background,sí,sí,conectada,,,,,,
badge,danger/color,--p-badge-danger-color,sí,sí,conectada,,,,,,
badge,dot/size,--p-badge-dot-size,no,sí,Figma no la usa,root,no hay capa,.p-badge-dot { width/height },no,"FALTA DIBUJARLO: el DS no dibuja el badge de punto (los ejes son Severity, Size y Circle)",2026-09-03
badge,font/size,--p-badge-font-size,sí,sí,conectada,,,,,,
badge,font/weight,--p-badge-font-weight,sí,sí,conectada,,,,,,
badge,height,--p-badge-height,sí,sí,conectada,,,,,,
badge,info/background,--p-badge-info-background,sí,sí,conectada,,,,,,
badge,info/color,--p-badge-info-color,sí,sí,conectada,,,,,,
badge,lg/font/size,--p-badge-lg-font-size,sí,sí,conectada,,,,,,
badge,lg/height,--p-badge-lg-height,sí,sí,conectada,,,,,,
badge,lg/min/width,--p-badge-lg-min-width,sí,sí,conectada,,,,,,
badge,min/width,--p-badge-min-width,sí,sí,conectada,,,,,,
badge,padding/x,--p-badge-padding,sí,sí,conectada,,,,,,
badge,padding/y,--p-badge-padding,sí,sí,conectada,,,,,,
badge,primary/background,--p-badge-primary-background,sí,sí,conectada,,,,,,
badge,primary/color,--p-badge-primary-color,sí,sí,conectada,,,,,,
badge,secondary/background,--p-badge-secondary-background,sí,sí,conectada,,,,,,
badge,secondary/color,--p-badge-secondary-color,sí,sí,conectada,,,,,,
badge,sm/font/size,--p-badge-sm-font-size,sí,sí,conectada,,,,,,
badge,sm/height,--p-badge-sm-height,sí,sí,conectada,,,,,,
badge,sm/min/width,--p-badge-sm-min-width,sí,sí,conectada,,,,,,
